miRNA,Gene
hsa-miR-92b-3p,HSPA1B
hsa-miR-940,HSPA1B
hsa-let-7b-5p,HSPA8
hsa-miR-106a-5p,HSPA8
hsa-miR-106b-5p,HSPA8
hsa-miR-10a-5p,HSPA8
hsa-miR-130a-3p,HSPA8
hsa-miR-149-5p,HSPA8
hsa-miR-15b-5p,HSPA8
hsa-miR-16-5p,HSPA8
hsa-miR-17-5p,HSPA8
hsa-miR-20a-5p,HSPA8
hsa-miR-20b-5p,HSPA8
hsa-miR-25-3p,HSPA8
hsa-miR-26a-5p,HSPA8
hsa-miR-301a-3p,HSPA8
hsa-miR-324-3p,HSPA8
hsa-miR-331-3p,HSPA8
hsa-miR-448,HSPA8
hsa-miR-454-3p,HSPA8
hsa-miR-519a-3p,HSPA8
hsa-miR-519d-3p,HSPA8
hsa-miR-548ah-5p,HSPA8
hsa-miR-587,HSPA8
hsa-miR-877-5p,HSPA8
hsa-miR-92a-3p,HSPA8
hsa-miR-93-5p,HSPA8
hsa-let-7a-5p,IGF1R
hsa-let-7b-5p,IGF1R
hsa-let-7c-5p,IGF1R
hsa-let-7d-5p,IGF1R
hsa-let-7e-5p,IGF1R
hsa-let-7f-5p,IGF1R
hsa-let-7g-5p,IGF1R
hsa-let-7i-5p,IGF1R
hsa-miR-100-5p,IGF1R
hsa-miR-122-5p,IGF1R
hsa-miR-1253,IGF1R
hsa-miR-143-3p,IGF1R
hsa-miR-145-5p,IGF1R
hsa-miR-152-3p,IGF1R
hsa-miR-16-5p,IGF1R
hsa-miR-181b-5p,IGF1R
hsa-miR-185-5p,IGF1R
hsa-miR-194-5p,IGF1R
hsa-miR-21-5p,IGF1R
hsa-miR-218-5p,IGF1R
hsa-miR-2682-5p,IGF1R
hsa-miR-26b-5p,IGF1R
hsa-miR-302b-3p,IGF1R
hsa-miR-302d-3p,IGF1R
hsa-miR-30a-5p,IGF1R
hsa-miR-329-3p,IGF1R
hsa-miR-34a-5p,IGF1R
hsa-miR-3613-3p,IGF1R
hsa-miR-363-5p,IGF1R
hsa-miR-372-3p,IGF1R
hsa-miR-376a-3p,IGF1R
hsa-miR-377-3p,IGF1R
